dataset,case,index,method,target_label,deleted_fraction,base_probability,base_target_confidence,probability_after_deletion,target_confidence_after_deletion,confidence_drop
kepler,negativo_correcto_alta_confianza,1365,gradcam_multiscale,0,0.1,2.1046115298960658e-19,1.0,0.0016097357729449868,0.998390264227055,0.0016097357729449868
kepler,negativo_correcto_alta_confianza,1365,gradcam_multiscale,0,0.2,2.1046115298960658e-19,1.0,0.002154204063117504,0.9978457959368825,0.002154204063117504
kepler,negativo_correcto_alta_confianza,1365,gradcam_multiscale,0,0.3,2.1046115298960658e-19,1.0,0.0022984519600868225,0.9977015480399132,0.0022984519600868225
kepler,negativo_correcto_alta_confianza,1365,gradcam_multiscale,0,0.5,2.1046115298960658e-19,1.0,0.00021239403577055782,0.9997876059642294,0.00021239403577055782
kepler,negativo_correcto_alta_confianza,1365,consensus,0,0.0,2.1046115298960658e-19,1.0,2.1046115298960658e-19,1.0,0.0
kepler,negativo_correcto_alta_confianza,1365,consensus,0,0.05,2.1046115298960658e-19,1.0,0.1137748658657074,0.8862251341342926,0.1137748658657074
kepler,negativo_correcto_alta_confianza,1365,consensus,0,0.1,2.1046115298960658e-19,1.0,0.008032198995351791,0.9919678010046482,0.008032198995351791
kepler,negativo_correcto_alta_confianza,1365,consensus,0,0.2,2.1046115298960658e-19,1.0,0.0001374397979816422,0.9998625602020184,0.0001374397979816422
kepler,negativo_correcto_alta_confianza,1365,consensus,0,0.3,2.1046115298960658e-19,1.0,0.00016867622616700828,0.999831323773833,0.00016867622616700828
kepler,negativo_correcto_alta_confianza,1365,consensus,0,0.5,2.1046115298960658e-19,1.0,7.894531154306605e-05,0.9999210546884569,7.894531154306605e-05
kepler,cerca_del_umbral,275,saliency,0,0.0,0.4931982159614563,0.5068017840385437,0.4931982159614563,0.5068017840385437,0.0
kepler,cerca_del_umbral,275,saliency,0,0.05,0.4931982159614563,0.5068017840385437,0.031194621697068214,0.9688053783029318,-0.4620035942643881
kepler,cerca_del_umbral,275,saliency,0,0.1,0.4931982159614563,0.5068017840385437,0.018260059878230095,0.9817399401217699,-0.4749381560832262
kepler,cerca_del_umbral,275,saliency,0,0.2,0.4931982159614563,0.5068017840385437,0.002031349577009678,0.9979686504229903,-0.4911668663844466
kepler,cerca_del_umbral,275,saliency,0,0.3,0.4931982159614563,0.5068017840385437,0.007050456944853067,0.9929495430551469,-0.48614775901660323
kepler,cerca_del_umbral,275,saliency,0,0.5,0.4931982159614563,0.5068017840385437,0.027170373126864433,0.9728296268731356,-0.46602784283459187
kepler,cerca_del_umbral,275,smoothgrad,0,0.0,0.4931982159614563,0.5068017840385437,0.4931982159614563,0.5068017840385437,0.0
kepler,cerca_del_umbral,275,smoothgrad,0,0.05,0.4931982159614563,0.5068017840385437,0.03183666244149208,0.9681633375585079,-0.4613615535199642
kepler,cerca_del_umbral,275,smoothgrad,0,0.1,0.4931982159614563,0.5068017840385437,0.019457971677184105,0.9805420283228159,-0.4737402442842722
kepler,cerca_del_umbral,275,smoothgrad,0,0.2,0.4931982159614563,0.5068017840385437,0.004940774291753769,0.9950592257082462,-0.48825744166970253
kepler,cerca_del_umbral,275,smoothgrad,0,0.3,0.4931982159614563,0.5068017840385437,0.002690314082428813,0.9973096859175712,-0.4905079018790275
kepler,cerca_del_umbral,275,smoothgrad,0,0.5,0.4931982159614563,0.5068017840385437,0.02764585241675377,0.9723541475832462,-0.46555236354470253
kepler,cerca_del_umbral,275,integrated_gradients,0,0.0,0.4931982159614563,0.5068017840385437,0.4931982159614563,0.5068017840385437,0.0
